Category,Item,Meaning,How to sign
Basic Needs,Food,"Any nutritious substance that people or animals eat or drink, or that plants absorb, in order to maintain life and growth.",1. Use the dominant hand in the 'flat O' handshape (fingertips touching thumb). 2. Tap the fingertips to the mouth/chin area once or twice.
Basic Needs,Water,"A colorless, transparent, odorless liquid that forms the seas, lakes, rivers, and rain.",1. Use the dominant hand in the 'W' handshape. 2. Tap the three fingers on the chin once or twice.
Basic Needs,Shelter,A place giving temporary protection from bad weather or danger.,"1. Use both hands in the 'A' or 'S' handshape (fists), held vertically, palms facing each other. 2. Tap the wrists/forearms together. 3. Arc the hands slightly over the head."
Basic Needs,Sleep,A naturally recurring state of rest for the mind and body.,"1. Use the dominant hand in the '5' handshape (open) above the face. 2. Move the hand down, closing it into a 'flat O' handshape while touching the chin/cheek area."
Basic Needs,Safety,"The condition of being protected from or unlikely to cause danger, risk, or injury.","1. Use both hands in the 'S' handshape (fists), dominant hand on top of non-dominant, arms crossed slightly. 2. Swing the fists outward and down in unison."
Basic Needs,Health care,"The maintenance and improvement of health via the prevention, diagnosis, and treatment of illness, injury, and other physical and mental impairments.","1. Sign HEALTH: Use both '5' hands. 2. Tap the dominant middle finger on the shoulder, then tap the non-dominant middle finger on the chest."
Basic Needs,Clothing,Items worn to cover the body.,1. Use both hands in the '5' handshape (palms facing in). 2. Brush the hands down the sides of the chest/body repeatedly.
Basic Needs,Urinate,To excrete urine.,"1. Use the dominant hand in the 'U' handshape (index and middle fingers extended), palm facing down. 2. Move the hand forward from the crotch area."
Basic Needs,Comfort Room,Euphemism for restroom or bathroom.,1. Sign BATHROOM: Use the dominant hand in the 'T' handshape (thumb between index and middle fingers). 2. Shake the hand twice in space.
Birds,Bird,"A warm-blooded egg-laying vertebrate distinguished by feathers, wings, and a beak.","1. Use the dominant hand, forming a ""beak"" with the index finger and thumb. 2. Tap the finger and thumb together near the mouth once or twice."
Birds,Chicken,A common domestic fowl kept for its eggs or meat.,1. Use the dominant hand in the 'G' or 'V' handshape. 2. Start the hand near the mouth. 3. Peck the hand down toward the non-dominant flat palm.
Colors,Red,Any of various colors resembling the color of blood and rubies.,1. Use the dominant hand in the '1' or 'X' handshape (index finger extended and bent). 2. Place the tip of the index finger on the chin. 3. Slide the finger downward twice.
Colors,Blue,The pure color of a clear sky; the primary color between green and violet in the visible spectrum.,1. Use the dominant hand in the 'B' handshape (flat palm). 2. Hold the hand upright in neutral space. 3. Twist the hand at the wrist twice.
Colors,Green,color between blue and yellow in the spectrum; colored like grass.,1. Use the dominant hand in the 'G' handshape (index and thumb parallel). 2. Hold the hand horizontally in front of you. 3. Twist the hand at the wrist horizontally twice.
Colors,Yellow,"color between green and orange in the spectrum; colored like ripe lemons, bananas or egg yolks.",1. Use the dominant hand in the 'Y' handshape (pinky and thumb extended). 2. Hold the hand upright in neutral space. 3. Twist the hand at the wrist twice (or shake slightly).
Colors,Purple,A color intermediate between red and blue.,"1. Use the dominant hand in the 'P' handshape (index and middle fingers extended, middle finger pointing down). 2. Hold the hand facing down in side space. 3. Move the hand in a circular motion a couple of times."
Colors,Orange,A round juicy citrus fruit with a tough bright reddish-yellow rind; reddish yellow color.,1. Use the dominant hand in a loose 'S' handshape (as if squeezing something small). 2. Bring the top side of the hand near the side of the mouth. 3. Open and close the hand (squeeze) twice.
Colors,Pink,"color intermediate between red and white, as of coral or salmon.",1. Use the dominant hand in the 'P' or 'K' handshape (middle finger is extended). 2. Touch the tip of the middle finger to the chin. 3. Brush the finger downward twice.
Colors,Brown,"color produced by mixing red, yellow, and black, as of wood or soil.","1. Use the dominant hand in the '5' handshape (open). 2. Hold the hand upright, palm facing out. 3. Wiggle the fingers slightly."
Colors,Black,the very darkest color owing to the absence of or complete absorption of light; the opposite of white.,1. Use the dominant hand in the '1' handshape (forefinger only). 2. Place the palm down on the forehead. 3. Brush the finger across the forehead from left to right.
Colors,White,having the color of milk or fresh snow; the opposite of black.,"1. Use the dominant hand in a loose '5' handshape, palm facing in, touching the chest. 2. Draw the hand away from the torso, gathering the fingers into a flat 'O' handshape."
Family Members,Mother,A woman in relation to a child or children to whom she has given birth.,1. Use the dominant hand in the '5' handshape. 2. Place the thumb on the lower cheek near the mouth. 3. Tap the thumb on the cheek twice.
Family Members,Father,A man in relation to his natural child or children; dad; male parent.,1. Use the dominant hand in the '5' handshape. 2. Place the thumb on the side of the upper head or side of the forehead. 3. Tap the thumb on the head twice.
Family Members,Brother,a boy or man who has the same parents as another person; a male sibling.,1. Use the dominant hand in the 'L' handshape (or '10'/thumb up). 2. Touch the thumb to the forehead. 3. Move the hand forward so the bottom of the hand rests on the non-dominant horizontal forefinger.
Family Members,Sister,a girl or woman who has the same parents as another person; female sibling.,1. Use the dominant hand in the 'L' handshape (or '10'/thumb up). 2. Touch the thumb to the cheek. 3. Move the hand forward so the bottom of the hand rests on the non-dominant horizontal forefinger.
Family Members,Grandmother,The mother of one's father or mother.,"1. Use the dominant '5' or flat hand, thumb on the low cheek. 2. Move the hand forward in an arc twice away from the cheek."
Family Members,Grandfather,The father of one's father or mother.,"1. Use the dominant '5' or flat hand, thumb on the side of the forehead. 2. Move the hand forward in an arc twice away from the head."
Family Members,Aunt,the sister of one's father or mother or the wife of one's uncle.,"1. Use the dominant hand in the 'A' handshape (fist, thumb outside). 2. Brush the nail-sided thumb down twice across the cheek."
Family Members,Uncle,The brother of one's father or mother or the husband of one's aunt.,1. Use the dominant hand in the 'U' handshape (index and middle fingers up). 2. Brush the upper side of the forefinger down twice on the upper side of the head.
Family Members,Cousin,A relative or child of one's uncle or aunt.,1. Use the dominant hand in the 'C' handshape. 2. Brush the upper side of the forefinger down twice on the middle of the side of the head.
Fruits,Apple,"A round fruit with firm, white flesh and skin.",1. Use the dominant hand in the 'X' handshape (index finger bent). 2. Place the knuckle of the index finger on the cheek. 3. Twist the hand once or twice.
Fruits,Banana,"A long, curved fruit with a yellow peel.",1. Use the dominant '1' handshape. 2. Pull the index finger down on the non-dominant index finger (simulating peeling a banana).
Fruits,Orange,"A round, juicy citrus fruit.",1. Use the dominant hand in the 'C' handshape. 2. Squeeze the hand twice in front of the mouth.
Fruits,Grapes,"A small, round, juicy fruit.","1. Use the dominant '5' handshape, fingers wiggling. 2. Start at the elbow and move the hand down the non-dominant arm (simulating a cluster)."
Fruits,Strawberry,"A red, juicy fruit with seeds on the surface.","1. Place the dominant 'R' shape on the chin. 
2. Slide the finger downward twice.
3. Then use the non-dominant handshape 'I' and touch it by all of the fingers to simulate a fruit."
Fruits,Watermelon,"A large, round fruit with a hard green rind and sweet, red, pulpy flesh.",1. Close your non-dominant hand and flick it by the dominant hand.
Fruits,Mango,"A fleshy, oval, yellowish-red tropical fruit.",1. Use the dominant 'M' handshape to scoop the flat palm of the non-dominant hand.
Fruits,Pineapple,"A large, juicy tropical fruit with spiky leaves.",1. Use the dominant 'P' handshape and move it up the face in an arc.
Fruits,Peach,A round fruit with fuzzy skin and a large stone.,"1. Use the dominant 'P' handshape and touch it to the cheeks.
2. Twist the 'P' handshape back and forth."
Fruits,Cherry,"A small, round, red fruit with a stone.","1. Sign the 'Red Color' sign by placing the tip of the index finger on the chin. 
2. Slide the finger downward twice.
3. Then use the non-dominant handshape 'I' and touch it by all of the fingers to simulate a fruit in a stem. "
General Objects/Nature,Building,A structure with a roof and walls.,"1. Use the dominant '5' handshape, palm down, and move it up from the wrist. 2. Use both hands in 'B' handshapes and move them vertically, tracing the shape of a building."
General Objects/Nature,Tree,"A woody perennial plant, typically having a single stem or trunk.",1. Rest the dominant elbow on the non-dominant arm (representing the trunk). 2. Hold the dominant hand in the '5' handshape. 3. Wiggle the fingers slightly (representing leaves/branches).
Land Mammals,Lion,"A large, powerful cat native to Africa and Asia.",1. Use the dominant hand in the 'C' handshape. 2. Start the hand at the forehead. 3. Sweep the hand backward over the head (simulating a mane).
Land Mammals,Elephant,A very large herbivorous mammal with a trunk and large ears.,1. Use the dominant hand in the 'B' or '5' handshape. 2. Start the hand near the nose. 3. Move the hand downward in an arc (simulating a trunk).
Land Mammals,Dog,"A domesticated carnivore descended from the wolf, commonly kept as a pet.",1. Use the dominant hand in the '5' handshape. 2. Pat the upper thigh once or twice.
Land Mammals,Cat,A small domesticated carnivorous mammal kept as a pet.,1. Use the dominant hand in the 'F' handshape (thumb and index fingertips touching). 2. Touch the hand to the cheek near the mouth. 3. Move the hand outward once or twice (simulating whiskers).
Land Mammals,Bear,"A large, heavy mammal with thick fur and short legs.","1. Use both hands in the '5' handshape, fingers curved like claws. 2. Start the hands on opposite sides of the chest. 3. Cross/scratch the hands downwards twice."
Land Mammals,Carabao,A domesticated water buffalo native to the Philippines.,"1. Sign BUFFALO: Use both hands in the 'Y' handshape. 2. Hold the hands at the sides of the head, thumbs pointing down. 3. Twist the wrists back and forth."
Land Mammals,Zebra,An African wild horse with black-and-white stripes.,1. Use the dominant hand in the '4' handshape (four fingers up). 2. Draw stripes across the non-dominant shoulder or arm.
Land Mammals,Sheep,A domesticated animal kept for wool or meat.,1. Use the dominant hand in the 'V' handshape (or 'K'). 2. Tap the hand on the non-dominant forearm twice (simulating shearing wool).
Land Mammals,Horse,"A large, solid-hoofed herbivorous mammal domesticated for riding.","1. Use the dominant hand in the 'U' or 'H' handshape, fingers bent. 2. Tap the hand on the sides of the forehead twice (simulating ears)."
Marine Animals,Fish,A cold-blooded aquatic vertebrate with gills and fins.,"1. Use the dominant 'flat hand' (or 'B'), held vertically. 2. Wiggle the hand at the wrist in the neutral space (simulating a tail fin)."
Meals,Breakfast,The first meal of the day.,1. Use the dominant hand in the 'B' handshape taps mouth/chin.
Meals,Lunch,A meal eaten in the middle of the day.,1. Use the dominant hand in the 'L' handshape taps mouth/chin.
Meals,Snack,A small amount of food eaten between meals.,1. Use the dominant hand in the 'K' handshape taps mouth/chin.
Meals,Dinner,"The main meal of the day, eaten in the evening.",1. Use the dominant hand in the 'D' handshape taps mouth/chin.
Modes of Transportation,Car,"A road vehicle or automobile, typically with four wheels, powered by an internal combustion engine and able to carry a small number of people.","1. Use both hands in the 'C' handshape, palms facing the signer. 2. put the hands on each other. "
Modes of Transportation,Bus,"A large motor vehicle carrying multiple passengers by road, especially one serving the public on a fixed route and for a fare.","1. Use both hands in the 'B' handshape, palms facing the signer. 2. put the hands on each other. "
Modes of Transportation,Train,A series of railroad cars moved as a unit by a locomotive or by integral motors.,"1. Use the dominant palm-down 'H' hand (index and middle fingers extended) 
2. Bend the fingers to make a arch.
3. Move forward the hand simulating the moving train."
Modes of Transportation,Bicycle,A two-wheeled vehicle that the rider sits on and pedals.,"1. Use both hands in the 'B' handshape (fists), palms facing each other, in front of the chest. 2. Move the hands in circular motion (simulating pedaling)."
Modes of Transportation,Airplane,A powered flying vehicle with fixed wings and a jet engine or propellers.,"1. Use the dominant hand in the 'I-love-you' handshape (thumb, index, pinky extended). 2. Hold the hand in front of the body. 3. Move the hand forward and slightly up, often wiggling the thumb."
Modes of Transportation,Boat,A small vessel for travel on water.,"1. Use both hands in the 'B' handshape,0 brought together at the bottom. 2. Move the hands forward in short."
Modes of Transportation,Motorcycle,A two-wheeled vehicle that is similar to a bicycle but driven by a motor.,"1. Use both hands in the 'S' handshape (fists), palms down, in front of the body. 2. Rotate the wrists alternately to simulate twisting the handlebars/throttle."
Modes of Transportation,Taxi,A car with a driver that you pay to take you somewhere; a cab.,1. Use the dominant hand in the 'T' handshape and raise the pinky finger for letter 'I'. Then wiggle your hand.
Modes of Transportation,Truck,"A large, heavy road vehicle for carrying goods.","1. Use both hands in the 'T' handshape, and position in front.
2. Make a pulling gesture using the handshape."
Occupations,Student,A person who is studying at a school or college.,1. Sign LEARN: dominant '5' hand takes knowledge from the non-dominant palm and moves it to the forehead. 2. Sign AGENT ('person'): both flat hands move straight down parallel.
Occupations,Doctor/Nurse,A person qualified to practice medicine/A person trained to care for the sick.,1. Sign DOCTOR: Dominant 'D' handshape taps the wrist (taking a pulse). OR Sign NURSE: Dominant 'N' handshape taps the wrist.
Occupations,Teacher,A person who teaches.,1. Sign TEACH: Both 'flat O' handshapes start near the sides of the head and move forward simultaneously. 2. Sign AGENT ('person'): both flat hands move straight down parallel.
Occupations,Police Officer,A member of the civil force responsible for law enforcement.,1. Use the dominant hand in the 'C' handshape. 2. Tap the chest where a badge would be.
Occupations,Firefighter,A person who fights fires.,1. Use the dominant hand in the 'B' handshape held at the side of the head (simulating a helmet strap). 2. Sign AGENT ('person'): both flat hands move straight down parallel.
Occupations,Soldier,A person who serves in an army.,1. Use the dominant hand in the 'A' handshape. 2. Tap the shoulder twice (simulating an epaulet or salute).
Occupations,Mayor/Council Member,An elected head of a city/A member of a governing council.,1. Sign MAYOR: Dominant 'M' handshape taps the opposite shoulder twice. 2. Sign AGENT ('person'): both flat hands move straight down parallel.
